what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1489481073285
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1489481073629
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1489481073831
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1489481082661
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1489481086202
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1489481087154
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1489481087591
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1489481090617
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1489481095313
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1489481102036
error,log,,,"TableRowRule.onResizeUpdate() failed: java.lang.NullPointerException",1489481237881
error,log,,,"TableRowRule.onResizeUpdate() failed: java.lang.NullPointerException",1489481237881
error,log,,,"TableRowRule.onResizeUpdate() failed: java.lang.NullPointerException",1489481237912
error,log,,,"TableRowRule.onResizeUpdate() failed: java.lang.NullPointerException",1489481237912
error,log,,,"TableRowRule.onResizeUpdate() failed: java.lang.NullPointerException",1489481237944
error,log,,,"TableRowRule.onResizeUpdate() failed: java.lang.NullPointerException",1489481237975
error,log,,,"TableRowRule.onResizeUpdate() failed: java.lang.NullPointerException",1489481237990
error,log,,,"TableRowRule.onResizeUpdate() failed: java.lang.NullPointerException",1489481238006
error,log,,,"TableRowRule.onResizeUpdate() failed: java.lang.NullPointerException",1489481238037
error,log,,,"TableRowRule.onResizeUpdate() failed: java.lang.NullPointerException",1489481238053
error,log,,,"TableRowRule.onResizeUpdate() failed: java.lang.NullPointerException",1489481238068
error,log,,,"TableRowRule.onResizeUpdate() failed: java.lang.NullPointerException",1489481238115
error,log,,,"TableRowRule.onResizeUpdate() failed: java.lang.NullPointerException",1489481238162
error,log,,,"TableRowRule.onResizeEnd() failed: java.lang.NullPointerException",1489481238802
error,log,,,"TableRowRule.onResizeUpdate() failed: java.lang.NullPointerException",1489481255416
